微博ID,用户id,用户昵称,微博链接,是否为原创微博,内容,转发理由,原始用户,发布位置,发布时间,信息采集时间,关键词,发布工具,转发数,评论数,点赞数
IzWhBmTxS,1993390131,郑州地铁,weibo.cn/1993390131/IzWhBmTxS,True,#地铁正能量# 3月22日下午，惠济区政府站站务员张瑞巡视站台时发现站台座椅上乘客遗失一个纸袋。值班员王晨立即播放站内广播寻找失主，同时联系站间电话进行寻找，几经周转终于联系上乘客，值班站长朱睿智核对无误后，将物品归还乘客，乘客表示感谢留下感谢信一封离开（站务中心 张瑞  朱睿智  王晨） 原图 ,/,/,无,2020-03-23 15:02,2020/03/23 15:03:37,地铁,微博 weibo.com,0,0,0
IzWhwk8uG,3096705901,深圳市前海管理局,weibo.cn/3096705901/IzWhwk8uG,True,#前海身边事#【五条粤港澳大湾区城际铁路2020年将陆续开工】3月20日，深圳市地铁集团举行粤港澳大湾区城际铁路建设项目工可研合同签约仪式，签约项目总长约410公里，总投资约2018亿元。此次签约的是深汕高铁、深惠城际铁路、深大城际铁路、龙岗至大鹏支线城际铁路、穗莞深城际前海至皇岗口岸段5个城际铁路项目工程可行性研究及配套专题项目签约。穗莞深城际前海至皇岗口岸段将在穗莞深城际延伸至前海的基础上，进一步延伸至福田中心区，支持前海自贸区、东莞滨海新城等重点发展片区快速建设。http://t.cn/A6zDMDIv 原图 ,/,/,无,2020-03-23 15:02,2020/03/23 15:03:37,地铁,微博 weibo.com,0,0,0
IzWhpw0aB,2272486461,格瑞普硬糖,weibo.cn/2272486461/IzWhpw0aB,False,【#武汉地铁已做好恢复运营准备#】23日上午，汉口火车站等地铁站内，保洁人员用喷雾器对车站站厅、站台等处进行无死角地消杀。针对乘客接触频次高的售票机、闸机、扶手、座椅、车门等处进行全面消杀。对于市民最关心的地铁何时恢复运营，武汉地铁运营公司相关负责人表示，网传信息均非官方发布，具体运营恢复时间目前仍未最终确定。http://t.cn/A6ze0u3D ,转发微博  ,人民日报,无,2020-03-23 15:02,2020/03/23 15:03:37,地铁,葡萄糖的iPhone 8,0,0,0
IzWhnrzhq,6248862295,-一只柚子掉入划海-,weibo.cn/6248862295/IzWhnrzhq,True,#黄仁俊[超话]#问问jm 们广州地铁站有哪些可以去打卡的  ,/,/,无,2020-03-23 15:02,2020/03/23 15:03:37,地铁,黄仁俊超话,0,0,0
IzWhmgswF,1296937690,时小七,weibo.cn/1296937690/IzWhmgswF,False,"带口罩的三名中国人被白人种族主义者轰出地铁的时候, 同一车厢的人做出了什么反应 ？ 默认&制止 ？ 我翻译了这个结果让人非常意外的社会调查 👇🏼  云登_十尼贝格的微博视频 比利时·布鲁塞尔  ",这个世界还是善良的人占大多数  ,云登_十尼贝格,无,2020-03-23 15:02,2020/03/23 15:03:37,地铁,微博 weibo.com,0,0,0
IzWheAR9x,2177931975,抚顺市公安局新宾县局,weibo.cn/2177931975/IzWheAR9x,False,【9岁小男孩在地铁大厅转悠 不想写作业想借钱“坐地铁去远方看看”】#警民同心# 3月19日14时许，北京地铁10号线泥洼站，一名9岁男孩在大厅里四处转悠。这个时间段孩子应该在家里上网课，民警觉得有问题，赶紧上前询问。男孩告诉民警，不想写作业，想借钱坐地铁去远方看看。民警将孩子带到警务室内休息，并与孩子母亲取得了联系，当天，男孩被母亲领回家。http://t.cn/A6zuxHRx ,9岁小男孩在地铁大厅转悠 不想写作业想借钱“坐地铁去远方看看//@平安抚顺:9岁小男孩在地铁大厅转悠 不想写作业想借钱“坐地铁去远方看看  ,中国警方在线,无,2020-03-23 15:01,2020/03/23 15:03:37,地铁,iPhone客户端,0,0,0
IzWhar0Dy,1835745783,春雨里洗过的太阳v,weibo.cn/1835745783/IzWhar0Dy,True,【房东直租】10号线太阳宫地铁站附近 离曙光里公交站很近 西坝河东里南北通透两居出租 独立小院内 附近菜市场京客隆凯德mall各种饭店 生活很方便 现租户到三月底 四月一号可开始租 本周末可看房 要求：最好是整租一家人 爱干净 保持良好卫生  #北京租房[超话]#  [组图共7张] 原图 ,/,/,无,2020-03-23 15:01,2020/03/23 15:03:37,地铁,北京租房超话,0,0,0
IzWgPaOck,1830916184,佛山兼职全职微招聘网,weibo.cn/1830916184/IzWgPaOck,True,【佛山招聘】祖庙地铁站！月薪8000以上，五险一金，带薪假期。招聘新媒体营销顾问！邮箱： boomsj@163.com ，地址：佛山公司地址：佛山市禅城区祖庙路46号华辉大厦24楼2405室  原图 ,/,/,无,2020-03-23 15:00,2020/03/23 15:03:37,地铁,皮皮时光机,0,0,0
IzWhR1hOp,5680887803,来画君,weibo.cn/5680887803/IzWhR1hOp,True,#张文宏说正常生活可以逐步恢复了# 想必大家也感受到了，上班路上开始塞车、地铁开始拥挤了。企业复工，适逢金三银四，怎么样让自家的招聘信息脱颖而出？来画为你支招诸多【招聘主题视频模板】等你来挑创意模板通道：http://t.cn/AiCrXqHf  来画君的微博视频  ,/,/,无,2020-03-23 15:03,2020/03/23 15:04:10,地铁,微博视频,0,0,0
IzWhQ7RoO,2692239943,恋上南山路之夏秋,weibo.cn/2692239943/IzWhQ7RoO,False,【#武汉地铁已做好恢复运营准备#】23日上午，汉口火车站等地铁站内，保洁人员用喷雾器对车站站厅、站台等处进行无死角地消杀。针对乘客接触频次高的售票机、闸机、扶手、座椅、车门等处进行全面消杀。对于市民最关心的地铁何时恢复运营，武汉地铁运营公司相关负责人表示，网传信息均非官方发布，具体运营恢复时间目前仍未最终确定。http://t.cn/A6ze0u3D ,转发微博  ,人民日报,无,2020-03-23 15:03,2020/03/23 15:04:10,地铁,前置双摄vivo X9,0,0,0
IzWhNaS0s,5160805204,智慧传祺,weibo.cn/5160805204/IzWhNaS0s,True,【堵车都有幸福感！武汉街道出现百米长堵车现象 网友：胜利就在眼前】近日，在湖北武汉循礼门的解放大道地下通道，出现了百米长的堵车情况，同时，武汉地铁1号线列车驶入黄浦路站，21日，有网友发现，在武汉地铁站内的公告牌写着武汉地铁运营恢复阶段初步安排。网友称：胜利就在眼前，武汉离解封不远了。http://t.cn/A6zdxrfA(via 时间视频） ,/,/,无,2020-03-23 15:03,2020/03/23 15:04:10,地铁,微博 weibo.com,0,0,0
IzWhJA9cH,1732739184,合肥在线,weibo.cn/1732739184/IzWhJA9cH,True,【合肥地铁全线恢复正常运营首日 乘客虽多却不挤】日前，合肥市轨道公司发布通知于3月23日起对线网运营时间、行车间隔等做出调整，线网运营将全面恢复。全线恢复正常运营首日，记者乘坐轨道1号、3号线感受恢复正常运行后的早高峰，地铁虽然客流量不算少，但由于地铁行车间隔时间缩短，未出现客流人员集聚的情况。http://t.cn/A6zDxPSo [组图共4张] 原图 ,/,/,无,2020-03-23 15:03,2020/03/23 15:04:10,地铁,微博 weibo.com,0,0,0
IzWi2v89F,1895641181,建行陕西分行电子银行,weibo.cn/1895641181/IzWi2v89F,False,【#武汉地铁已做好恢复运营准备#】23日上午，汉口火车站等地铁站内，保洁人员用喷雾器对车站站厅、站台等处进行无死角地消杀。针对乘客接触频次高的售票机、闸机、扶手、座椅、车门等处进行全面消杀。对于市民最关心的地铁何时恢复运营，武汉地铁运营公司相关负责人表示，网传信息均非官方发布，具体运营恢复时间目前仍未最终确定。http://t.cn/A6ze0u3D ,期待回归！#西安地铁智惠行# //@西安地铁: 期待回归！加油武汉！//@武汉地铁运营: #武汉地铁已做好恢复运营准备#网传地铁何时恢复运营信息均非官方发布，具体运营恢复时间目前仍未最终确定。  ,人民日报,无,2020-03-23 15:03,2020/03/23 15:04:47,地铁,微博 weibo.com,0,0,0
IzWhZAtkD,6678844295,城东清韵,weibo.cn/6678844295/IzWhZAtkD,False,【#武汉地铁已做好恢复运营准备#】23日上午，汉口火车站等地铁站内，保洁人员用喷雾器对车站站厅、站台等处进行无死角地消杀。针对乘客接触频次高的售票机、闸机、扶手、座椅、车门等处进行全面消杀。对于市民最关心的地铁何时恢复运营，武汉地铁运营公司相关负责人表示，网传信息均非官方发布，具体运营恢复时间目前仍未最终确定。（楚天都市报）http://t.cn/A6ze0u3D ,武汉地铁已做好恢复运营准备  ,安徽反邪教,无,2020-03-23 15:03,2020/03/23 15:04:47,地铁,iPhone客户端,0,0,0
IzWhZfvlK,1998070491,昆山特价房,weibo.cn/1998070491/IzWhZfvlK,True,@花桥人，上海地铁 11 号线花桥段 24 号恢复运营！乘坐地铁有新要求！重磅快讯！小编从昆山轨道交通管理部门了解到，从明天（3月24日）开始，轨道交通11号线昆山段将恢复正常运营。昆山花桥境内花桥、光明路、兆丰路三站对乘客开放进出站。 通   告 随着新冠肺炎疫情的发展和控制情况逐步趋好，为统筹疫情动态防控和经济社会发展， 经上级有关部门同意，决定自2020年3月24日起恢复上海轨道交通11号线昆山段运营，运营服务时间与运力安排与停运前保持一致。轨道交通11号线花桥段2020年3月22日 ,/,/,无,2020-03-23 15:03,2020/03/23 15:04:47,地铁,专业版微博,0,0,0
IzWhWASlH,7036326506,京楼接盘侠,weibo.cn/7036326506/IzWhWASlH,True,现在限竞房用地越来越少，五环内京能、电建的旧宫地块项目洺悦湾，可以说是最具性价比的楼盘，离地铁近，均价5.4，并且86平三居总价468以内达到普宅标准，意味着你是二套资质的话首付只需60％。但由于新宫项目洺悦苑的维权事件，估计也会受到一定的影响。#北京房价[超话]##北京限竞房图鉴# http://t.cn/ELT0hke 显示地图 [组图共2张] 原图 ,/,/,http://t.cn/ELT0hke,2020-03-23 15:03,2020/03/23 15:04:47,地铁,Redmi K30 全速热爱,0,0,0
IzWhVpm40,5310039613,成都事儿君,weibo.cn/5310039613/IzWhVpm40,True,据网友：成都地铁上，某中介小伙子……#成都爆料# 成都热点榜的微博视频  成都  显示地图 ,/,/,#成都爆料#,2020-03-23 15:03,2020/03/23 15:04:47,地铁,成都超话,0,0,2
IzWhT4GOn,5397871314,Q房网房产经纪人小苏,weibo.cn/5397871314/IzWhT4GOn,True,️ 🚨 开盘在即🚨 开盘在即   🏆 【-恒   大   城-】🏆          二期加推户型95--103-135平3-4房   📢火爆诚意登记中，登记金2⃣万————————————⚠⚠恒大城二期01地块精装升级（低于周边一二手房价）自带13万㎡商业⚠⚠高铁，地铁14-16号线近在咫尺🏠 🏠 坪山实验学校+飞西学校（在建） http://t.cn/RD4C3n3 显示地图 原图 ,/,/,http://t.cn/RD4C3n3,2020-03-23 15:03,2020/03/23 15:04:47,地铁,iPhone客户端,0,0,0
IzWihBSQ3,6346881041,想要一把贝斯,weibo.cn/6346881041/IzWihBSQ3,False,2019华语数字音乐年度报告【年度摇滚歌曲TOP20】 我人傻了，气冷抖颤何时站？  [组图共2张] 原图 ,//@中国摇滚帮:地铁老头看手机（加强版） 查看图片  ,独音记,无,2020-03-23 15:04,2020/03/23 15:05:27,地铁,魅蓝 E,0,0,0
