微博ID,用户id,用户昵称,微博链接,是否为原创微博,内容,转发理由,原始用户,发布位置,发布时间,信息采集时间,关键词,发布工具,转发数,评论数,点赞数
IzWhHxZTL,2141019845,考CPA的女人,weibo.cn/2141019845/IzWhHxZTL,True,虽然最近定的计划都执行的不是特别到位，但该立的规矩还是要立的，审计700页，月底之前一天100页过一遍。说去上班的，孩子不开学，开学了又该准备去考初级了，一心不能二用，如果去上班刚开始肯定比较忙，考试的战线就又拉长了。先专心把一件事干再说吧，孩子慢慢大了，只要准备好了随时都能上班。加油吧！ http://t.cn/RiwvB7N 显示地图 ,/,/,http://t.cn/RiwvB7N,2020-03-23 15:02,2020/03/23 15:03:46,开学,荣耀手机 勇敢做自己,0,0,0
IzWhHhoGS,6334355519,爱云吸橘的朱无忧,weibo.cn/6334355519/IzWhHhoGS,True,#开学时间#到底确定了没有啊，没确定您要什么热度，给我下去  ,/,/,无,2020-03-23 15:02,2020/03/23 15:03:46,开学,无,0,0,0
IzWhHf2Ez,6193940082,清宇生,weibo.cn/6193940082/IzWhHf2Ez,True,坐等开学  [组图共3张] 原图 ,/,/,无,2020-03-23 15:02,2020/03/23 15:03:46,开学,荣耀10 AI变色更潮美,0,0,0
IzWhGFGOD,1559755023,上帝爱子,weibo.cn/1559755023/IzWhGFGOD,True,啊！彩雲之南🙏#云南开学#  原图 ,/,/,无,2020-03-23 15:02,2020/03/23 15:03:46,开学,HUAWEI P10,0,0,0
IzWhGo2qf,2003190825,青岛校园,weibo.cn/2003190825/IzWhGo2qf,True,#云南开学#哦！又一个省份开学了，然鹅和#山东开学时间# 无瓜  原图 ,/,/,无,2020-03-23 15:02,2020/03/23 15:03:46,开学,夏天的风&Android,0,0,0
IzWhGnZv6,6823523984,段团团的Marknie,weibo.cn/6823523984/IzWhGnZv6,True,我不想开学  ,/,/,无,2020-03-23 15:02,2020/03/23 15:03:46,开学,前后2000万 OPPO R11,0,0,0
IzWhGlEmT,6747362446,短腿可爱圆脸萝莉呀,weibo.cn/6747362446/IzWhGlEmT,True,班主任说可能4.15开学哎  ,/,/,无,2020-03-23 15:02,2020/03/23 15:03:46,开学,荣耀7C 人脸识别双摄,0,0,0
IzWhG6mqy,5521312218,詩情画意一灘夠失,weibo.cn/5521312218/IzWhG6mqy,True,大学生啥时候开学@陕西省教育厅  ,/,/,无,2020-03-23 15:02,2020/03/23 15:03:46,开学,iPhone客户端,0,0,0
IzWhG3YoQ,2870098957,噜啦噜啦噜拉酱,weibo.cn/2870098957/IzWhG3YoQ,False,有人给塞尔维亚总统武契奇开通了超话，还给总统发私信，这合适吗  [组图共6张] 原图 ,一帮脑残看来不开学都很闲//@已婚渣比迪拜哪扎:能不能不要什么都饭圈化  ,八组兔区爆料,无,2020-03-23 15:02,2020/03/23 15:03:46,开学,无,0,0,0
IzWhFse15,2921898245,浙江捉谣记,weibo.cn/2921898245/IzWhFse15,False,#微博辟谣# 【宁波初三高三3月30日开学？假的！浙江省教育厅仍在评估】近日，一张题为“我省明确开学时间”的图片在宁波家长圈中疯传，显示“宁波教育”媒体发文称初三高三3月30日开学。宁波市教育局负责人答复这是因为该媒体转发江苏的新闻没有改标题内容而导致的。两篇文章内容排版一模一样，很快这张图片的发布媒体也修改了内容和标题，点明此为“江苏省明确开学时间”。对此，浙江省教育厅相关负责人表示：“目前我省尚未明确开学时间。我们根据疫情防控情况，正在科学评估，会提前一周通过权威发布渠道，向社会公布。” 原图 ,宁波初三高三3月30日开学？假的！#捉谣记-浙江疫情辟谣#  ,宁波网警巡查执法,无,2020-03-23 15:02,2020/03/23 15:03:46,开学,荣耀V20 4800万3D相机,0,0,0
IzWhXfq7N,6514762399,Melancholia·,weibo.cn/6514762399/IzWhXfq7N,True,快开学吧 再不开学考不上了  ,/,/,无,2020-03-23 15:03,2020/03/23 15:04:23,开学,iPhone客户端,0,0,0
IzWhXc8k8,5683503053,特级可爱选手,weibo.cn/5683503053/IzWhXc8k8,True,离开学越来越近了  ,/,/,无,2020-03-23 15:03,2020/03/23 15:04:23,开学,iPhone客户端,0,0,0
IzWhWCBAV,7005568918,世界级solo选手,weibo.cn/7005568918/IzWhWCBAV,True,#开学时间#所以，时间表呢一点进来是个嘛玩意  ,/,/,无,2020-03-23 15:03,2020/03/23 15:04:23,开学,Android,0,0,0
IzWhWAtOS,6311405199,朱小妮儿_416,weibo.cn/6311405199/IzWhWAtOS,True,#开学时间#在家待久了看到这个热搜好慌啊，想去又不想去  ,/,/,无,2020-03-23 15:03,2020/03/23 15:04:23,开学,朱一龙的小笼包,0,0,0
IzWhWm6QZ,6656784279,三份敏感,weibo.cn/6656784279/IzWhWm6QZ,True,#TFBOYS[超话]#我开学了[跪了]祝我中考顺利!一中和七周年都能拿下!加油!我们夏天见!  [组图共2张] 原图 ,/,/,无,2020-03-23 15:03,2020/03/23 15:04:23,开学,TFBOYS超话,0,0,0
IzWhW3iPj,5192866162,YANWENHUI_,weibo.cn/5192866162/IzWhW3iPj,True,太想开学了 在家不香了  原图 ,/,/,无,2020-03-23 15:03,2020/03/23 15:04:23,开学,iPhone客户端,0,0,0
IzWhW3i2o,6008661687,星星百褶裙,weibo.cn/6008661687/IzWhW3i2o,True,#日本学校将复课#害 反正我们是过了这个春假 正常开学的  ,/,/,无,2020-03-23 15:03,2020/03/23 15:04:23,开学,啵啵兔兔Android,0,0,0
IzWhV9ctq,2742425207,哈喽呆呆无敌,weibo.cn/2742425207/IzWhV9ctq,True,#当得知开学时间后的你#  ,/,/,无,2020-03-23 15:03,2020/03/23 15:04:23,开学,vivo X20全面屏手机,0,0,0
IzWhT6wXg,5282278866,theMilkyWay-J-,weibo.cn/5282278866/IzWhT6wXg,True,快开学吧快开学吧快开学吧快开学吧快开学吧快开学吧快开学吧快开学吧  ,/,/,无,2020-03-23 15:03,2020/03/23 15:04:23,开学,iPhone客户端,0,0,0
IzWhT5sxL,5580205287,小葵hongyiiiiii,weibo.cn/5580205287/IzWhT5sxL,True,#云南开学#哦吼？！！！开学了？！！！好快啊我们这还没呢希望能慢慢恢复正常生活吧  ,/,/,无,2020-03-23 15:03,2020/03/23 15:04:23,开学,今晚早睡了吗超话,0,0,1
IzWid9kFK,5527880614,来份小的窝窝头,weibo.cn/5527880614/IzWid9kFK,True,大家都在说想开学想开学……可能整个朋友圈就我一个是，真的真的不想回学校吧  ,/,/,无,2020-03-23 15:04,2020/03/23 15:05:00,开学,iPhone XR,0,0,0
IzWicAEG1,2797785373,吕恩惠儿,weibo.cn/2797785373/IzWicAEG1,True,求求了 快开学吧！这个寒假我已经胖了12斤了  原图 ,/,/,无,2020-03-23 15:04,2020/03/23 15:05:00,开学,iPhone客户端,0,0,0
IzWichVbI,6716484373,临县那些事,weibo.cn/6716484373/IzWichVbI,True,白旭平检查临县高级中学开学准备工作  临县那些事的微博视频  ,/,/,无,2020-03-23 15:04,2020/03/23 15:05:00,开学,微博视频,0,0,0
IzWibEfBX,3312074007,不会说话的画册,weibo.cn/3312074007/IzWibEfBX,True,#想食蛋挞#我不仅想吃蛋挞，我还想吃火锅，马上要开学了，一个月回一次家啊啊啊啊啊啊啊啊啊啊，快让我吃个够吧  ,/,/,无,2020-03-23 15:04,2020/03/23 15:05:00,开学,华为手机,0,0,0
IzWib7VQt,5807650161,沐宸成芦,weibo.cn/5807650161/IzWib7VQt,True,#云南开学#开始恢复正常生活了  ,/,/,无,2020-03-23 15:04,2020/03/23 15:05:00,开学,鹿晗的芦苇,0,0,0
IzWiawfQS,3317089420,汉东咚东东,weibo.cn/3317089420/IzWiawfQS,True,#想食蛋挞# 赶紧开学吧，我想吃百香林不怎么好吃但是贼便宜的蛋挞了，十块钱五个，多爽  ,/,/,无,2020-03-23 15:04,2020/03/23 15:05:00,开学,HUAWEI P20,0,0,0
IzWiaexLP,2189965863,四六级考试网,weibo.cn/2189965863/IzWiaexLP,True,【开学时间】各省市开学时间汇总，你们准备好开学了吗？  原图 ,/,/,无,2020-03-23 15:04,2020/03/23 15:05:00,开学,360安全浏览器,0,0,0
IzWi9DYjz,5028021814,HDSM_L,weibo.cn/5028021814/IzWi9DYjz,True,#开学时间# 上海不会真的5月份开学吧 hello？？？？？ 上海  显示地图 ,/,/,#开学时间#,2020-03-23 15:04,2020/03/23 15:05:00,开学,iPhone XR,0,0,1
IzWi9Bp13,1992959795,2wo998,weibo.cn/1992959795/IzWi9Bp13,True,#开学时间山东#开学吧开学吧一天翻几百遍微博 就为了等一个开学时间  ,/,/,无,2020-03-23 15:04,2020/03/23 15:05:00,开学,iPhone客户端,0,0,0
IzWiqthDc,5032431700,伊_诺诺诺,weibo.cn/5032431700/IzWiqthDc,True,#云南开学#千万，暂时不要开学！！！！  ,/,/,无,2020-03-23 15:04,2020/03/23 15:05:34,开学,OPPO R9,0,0,0
IzWiqrvfF,6617708830,甜味酸奶ou,weibo.cn/6617708830/IzWiqrvfF,True,#开学时间#请问浙江呢？！？？！  ,/,/,无,2020-03-23 15:04,2020/03/23 15:05:34,开学,荣耀Play3,0,0,0
IzWipy4Hx,5314023869,软软圆圆软软,weibo.cn/5314023869/IzWipy4Hx,True,#云南开学# 开学了？！！！好快啊我们这还没呢  ,/,/,无,2020-03-23 15:04,2020/03/23 15:05:34,开学,软软圆圆软软超话,0,0,0
IzWipibOg,3845635943,Hrrvan,weibo.cn/3845635943/IzWipibOg,True,16省开学时间表 我实在不想下载新浪新闻app....  原图 ,/,/,无,2020-03-23 15:04,2020/03/23 15:05:34,开学,Van😎iPhone XS Max,0,0,0
IzWiph1Rf,7292326945,过期氯西汀,weibo.cn/7292326945/IzWiph1Rf,True,#想食蛋挞# 好想吃蛋挞呜呜呜怎么还不开学  ,/,/,无,2020-03-23 15:04,2020/03/23 15:05:34,开学,HUAWEI nova 3,0,0,0
IzWipgZAd,3921821228,追着光芒万丈的猪,weibo.cn/3921821228/IzWipgZAd,True,老师刚说: 过两天放假，咱们可能要误一次课（黑人问号脸❓❓❓）我开学了么  ,/,/,无,2020-03-23 15:04,2020/03/23 15:05:34,开学,OPPO超视野全面屏R15,0,0,0
IzWio889b,6006726109,书上一抹黄,weibo.cn/6006726109/IzWio889b,True,#云南开学#云南维西一中高三学子率先开学啦 书上一抹黄的微博视频  ,/,/,无,2020-03-23 15:04,2020/03/23 15:05:34,开学,iPhone客户端,0,0,0
IzWio70Km,6349757324,一个夹竹桃,weibo.cn/6349757324/IzWio70Km,True,难道真的要开学了吗？我不要啊 上海  显示地图 ,/,/,无,2020-03-23 15:04,2020/03/23 15:05:34,开学,nova4e 3200W立体美颜,0,0,0
IzWinvkhn,6026981572,浪漫为罪名,weibo.cn/6026981572/IzWinvkhn,True,#云南开学#我好羡慕啊  ,/,/,无,2020-03-23 15:04,2020/03/23 15:05:34,开学,Android,0,0,0
IzWiFwW6M,6027885694,·藏好你的妈·,weibo.cn/6027885694/IzWiFwW6M,False,#云南开学#我不想开学我不想开学我不想开学  ,#云南开学#我不想开学我不想开学我不想开学   ,是门虫虫,无,2020-03-23 15:05,2020/03/23 15:06:13,开学,无,0,0,0
IzWiFwVxL,5797672553,Perseus·Langsbury_,weibo.cn/5797672553/IzWiFwVxL,True,#开学时间#啊我真的想回学校了，球球了，越快越好  ,/,/,无,2020-03-23 15:05,2020/03/23 15:06:13,开学,微博搜索,0,0,0
IzWiFfhbX,2612468803,广艺大小事,weibo.cn/2612468803/IzWiFfhbX,True,#开学时间#还有多久才能开学呀  原图 ,/,/,无,2020-03-23 15:05,2020/03/23 15:06:13,开学,新东方考研iPhone 11,0,0,0
IzWiEFrWb,5216958264,飞鸟wa,weibo.cn/5216958264/IzWiEFrWb,True,#云南开学#重庆努努力好不好  ,/,/,无,2020-03-23 15:05,2020/03/23 15:06:13,开学,kk wifeAndroid,0,0,0
IzWiEDAUy,5215189130,嗯是刘莎,weibo.cn/5215189130/IzWiEDAUy,True,#开学时间#我前天出门戴口罩戴一会儿我就觉得憋得慌  一想到上课要一直戴就更憋了  ,/,/,无,2020-03-23 15:05,2020/03/23 15:06:13,开学,💚 的Android,0,0,0
IzWiE64Pm,3942807951,Chirstina_ing,weibo.cn/3942807951/IzWiE64Pm,True,#广东开学时间##广东开学# 广东到底什么时候开学啊！！！！急死我了，在家网课真的好没效率啊啊啊啊啊啊啊啊啊！！！数学没有老师当面教真的没有感觉我好怕物理合格考啊啊啊，快点快点快点开学，让我好好学物理吧！！！  ,/,/,无,2020-03-23 15:05,2020/03/23 15:06:13,开学,vivo AI智慧拍照X21,0,0,0
IzWiDtAZt,6069056692,闹腾啊闹腾,weibo.cn/6069056692/IzWiDtAZt,True,#柳江人家败好感# 柳江人家这波操作我是真的服，预售30天，40天还没发货，引起众怒也很正常啊，或许粉是现磨的吧#武汉大学樱花雨# 期待开学  原图 ,/,/,无,2020-03-23 15:05,2020/03/23 15:06:13,开学,nova 5z,0,0,0
IzWiDtzlz,2649336307,全张家口微博,weibo.cn/2649336307/IzWiDtzlz,True,【张家口市桥东区举行校园防疫演练】3月23日上午，张家口市桥东区在市第五中学举行防疫应急处置演练，为各校安全顺利复学奠定基础，区教体、卫健等部门工作人员及区属各中小学校负责同志共计100余人参与演练。    演练由参演人员模拟学生角色，以开学后正常教学中快速妥善处置突发疫情为背景，按照校园杀毒、入校、体温检测、课堂发热案例处置、临时隔离观察、送医就诊等多个环节有序展开，现场观摩人员针对演练中存在的问题提出整改建议，并结合实际制定、完善各校应急方案。    连日来，该区各校采取线上授课方式及时开展新学期教学工作，待接到上级入园复课通知后，各校即可按照演练程序有效防控疫情，确保广大师生安全顺利复学。 （张家口新闻传媒集团记者陈飞 孙琪然 通讯员岑屹） [组图共9张] 原图 ,/,/,无,2020-03-23 15:05,2020/03/23 15:06:13,开学,微博 weibo.com,0,0,0
IzWiDqPjP,3840904562,昆明官渡发布,weibo.cn/3840904562/IzWiDqPjP,True,#官渡力量 共抗疫情#  3月19日，官渡区市场监督管理局六甲市场监督管理所参加由区教育体育局、区卫生健康局和区市场监督管理局联合开展的校园新冠肺炎疫情防控工作落实情况专项检查，分别对辖区的新二中心学校，荣昆学校，雄兴学校，昆九中，云大附属会展学校，六甲一小共六所学校进行检查，做好开学前的相关准备。3月20日，六甲市场监督管理所对辖区农贸市场防控措施五个到位落实情况进行再回头检查，并填写验收（回头看）检查表，各市场门口设专人测量体温，并督促人员佩戴口罩且扫码出入。 [组图共3张] 原图 ,/,/,无,2020-03-23 15:05,2020/03/23 15:06:13,开学,微博 weibo.com,0,0,0
IzWiCAYWU,3220543977,今夜的月色真美0,weibo.cn/3220543977/IzWiCAYWU,True,#开学时间#万能的姐妹们，蹲个河南高校开学时间[淚]  原图 ,/,/,无,2020-03-23 15:05,2020/03/23 15:06:13,开学,iPhone客户端,0,0,0
IzWiWp5VH,5667364305,宇c梦c,weibo.cn/5667364305/IzWiWp5VH,True,一天天的被开学时间吓死了……心慌慌  ,/,/,无,2020-03-23 15:05,2020/03/23 15:06:50,开学,vivo智能手机,0,0,0
IzWiW4cTU,1769929701,馨唲格格,weibo.cn/1769929701/IzWiW4cTU,True,『【开学啦！】错峰有序，各校学生有序进入课堂迎接新学期』http://t.cn/A6zD4uAn  ,/,/,无,2020-03-23 15:05,2020/03/23 15:06:50,开学,nova5Pro人像超级夜景,0,0,0
IzWiVu7DZ,3865370035,summy-子晏,weibo.cn/3865370035/IzWiVu7DZ,True,#云南开学#具体时间还没有通知  ,/,/,无,2020-03-23 15:05,2020/03/23 15:06:50,开学,vivo智能手机,0,0,0
IzWiVe2om,5859677167,是傅小猪呀,weibo.cn/5859677167/IzWiVe2om,True,#开学时间# 默默等待安徽的开学时间，我不急我不急，我的不急你信我不急吗 六安·霍山县  显示地图 ,/,/,#开学时间#,2020-03-23 15:05,2020/03/23 15:06:50,开学,nova5Pro人像超级夜景,0,0,0
IzWiVaKMp,3843078129,世界第一可爱的美少女,weibo.cn/3843078129/IzWiVaKMp,True,#开学时间#天津啥时候开学  ,/,/,无,2020-03-23 15:05,2020/03/23 15:06:50,开学,HUAWEI P30,0,0,0
IzWiUkH1I,6697225406,假如爱有天意0820,weibo.cn/6697225406/IzWiUkH1I,True,#云南开学#哇哦，一定要注意防范！高三初三学子加油！  ,/,/,无,2020-03-23 15:05,2020/03/23 15:06:50,开学,荣耀20,0,0,0
IzWiUhnbt,5036390716,甜逸贩卖机,weibo.cn/5036390716/IzWiUhnbt,True,#云南开学#是捏 我妈这周日就要去上课了 没人管我了哈哈哈  ,/,/,无,2020-03-23 15:05,2020/03/23 15:06:50,开学,无,0,0,0
IzWiU1mPZ,2644280761,没人喜欢的委屈鬼,weibo.cn/2644280761/IzWiU1mPZ,False,这个真的有毒 最后再试一次！！！  原图 ,//@Pyun_://@Clyxlyx:浙江开学//@我有好多小铁树耶:顺便求个眼睛舒舒服服//@是个饭桶罢了:浙江快开学！！！//@ssssytttt:浙江立刻发布开学!//@都付与黄昏:我要换手机//@糖罐子不吃药://@我对你根本没抱任何幻想:浙江给👴开学//@有点吵://@一身橙味://@Kitwsesa://@一晌貪歡不知大梦://@Chiyu3107://  ,humar1015,无,2020-03-23 15:05,2020/03/23 15:06:50,开学,iPhone 8 Plus,0,0,0
IzWiTo0GN,7189931976,asdafgnbjyxszdftfksdknd,weibo.cn/7189931976/IzWiTo0GN,True,#开学时间#再不开学我就毕业了  ,/,/,无,2020-03-23 15:05,2020/03/23 15:06:50,开学, ♡. Android,0,0,0
IzWiT7Vmg,5014833195,云深不知处rl,weibo.cn/5014833195/IzWiT7Vmg,True,#想食蛋挞#开学吧 真的想食蛋挞 想食火锅 想食我南门的砂锅啊啊啊啊啊啊  原图 ,/,/,无,2020-03-23 15:05,2020/03/23 15:06:50,开学,iPhone客户端,0,0,1
IzWj9DSDr,3746668250,hey木子七,weibo.cn/3746668250/IzWj9DSDr,True,#云南开学#？大学呢？云大呢？  ,/,/,无,2020-03-23 15:06,2020/03/23 15:07:21,开学,iPhone客户端,0,0,0
IzWj9pl6D,5958548913,趣多多的趣少少,weibo.cn/5958548913/IzWj9pl6D,True,山东能不能不要有新病例了江苏都开学了  ,/,/,无,2020-03-23 15:06,2020/03/23 15:07:21,开学,iPhone,0,0,0
IzWj96WNk,3806952393,王叁壹SY,weibo.cn/3806952393/IzWj96WNk,True,再不开学最后一针疫苗都不知道什么时候能打🙃🙃🙃🙃 大庆  显示地图 ,/,/,无,2020-03-23 15:06,2020/03/23 15:07:21,开学,iPhone客户端,0,0,0
IzWj8ehwF,6615802816,树愉静好,weibo.cn/6615802816/IzWj8ehwF,True,"我提出了问题""大概什么时候开学?""大概什么时候开学? @湖南教育网  ",/,/,无,2020-03-23 15:06,2020/03/23 15:07:21,开学,nova4自拍极点全面屏,0,0,0
IzWj8cHEf,5574809399,薇薇的甜酒果,weibo.cn/5574809399/IzWj8cHEf,True,红色爱了开学就去染  原图 ,/,/,无,2020-03-23 15:06,2020/03/23 15:07:21,开学,iPhone客户端,0,0,0
IzWj7CvWc,5774387525,月亮婆婆不亮了,weibo.cn/5774387525/IzWj7CvWc,True,#开学时间#那就静待五月  ,/,/,无,2020-03-23 15:06,2020/03/23 15:07:21,开学,无,0,0,0
IzWj7AXSl,5531525456,十月不怕冷_,weibo.cn/5531525456/IzWj7AXSl,True,#开学时间#……我开始焦灼了我还没做好准备  原图 ,/,/,无,2020-03-23 15:06,2020/03/23 15:07:21,开学,看yzdoi的Android,0,0,0
IzWj7kUdG,6154754041,饱胀女孩橘子呆,weibo.cn/6154754041/IzWj7kUdG,True,终于到了（同学家哈哈哈，开学帮我带过去）  原图 ,/,/,无,2020-03-23 15:06,2020/03/23 15:07:21,开学,🍊 Android,0,0,0
IzWj7jiKc,2624894014,江苏科技大学,weibo.cn/2624894014/IzWj7jiKc,True,#我家的春天##校园云游大赏# 寒冬已然结束，开学即将到来，还记得校园里春天的模样吗？校园的春天不能没有你！和小科带上同样的两个话题， 晒出你相册里的校园春色+文字说明，并@荔枝新闻 @江苏科技大学，就有机会赢取精美礼品哦！  [组图共9张] 原图 ,/,/,无,2020-03-23 15:06,2020/03/23 15:07:21,开学,微博 weibo.com,0,0,0
IzWj72tYb,5716475626,治愈的LAY呀,weibo.cn/5716475626/IzWj72tYb,True,广东肯定最晚开学的  ,/,/,无,2020-03-23 15:06,2020/03/23 15:07:21,开学,无,0,0,0
IzWjn1bIS,2054445371,矫畸狂人,weibo.cn/2054445371/IzWjn1bIS,True,一个口腔医生被口腔溃疡折磨了三天现在龇牙咧嘴濒临崩溃意外发现自己订的直飞航班早已经卖空了，同期的中转航班价格是我那会儿订的6–7倍……而且，已经没有比这更早的航班了……携程上看别的航空公司还有中转两次，耗时两天多的，但是基本都需要中转站的签证，也有很多中转地被爆出过境措施调整无法中转……希望别突然通知开学通知面试或者通知答辩啥的，因为通知了我也回不去……【以北京这个输入疫情压力估计5月前开学是无望了吧】【会不会我们也搞网络面试网络答辩让我做一次女主播？】 http://t.cn/RqzgjZp 显示地图 [组图共2张] 原图 ,/,/,无,2020-03-23 15:06,2020/03/23 15:07:54,开学,又轻又薄的小米5c,0,0,0
IzWjmDk1L,5088745854,天文纸船,weibo.cn/5088745854/IzWjmDk1L,True,拜托拜托专辑一定要在开学前到啊  ,/,/,无,2020-03-23 15:06,2020/03/23 15:07:54,开学,iPhone客户端,0,0,0
IzWjmpuYB,7097829878,木反板板板板板板,weibo.cn/7097829878/IzWjmpuYB,True,#云南开学#安徽求求你快开学吧啊啊啊啊啊  ,/,/,无,2020-03-23 15:06,2020/03/23 15:07:54,开学,小米8周年旗舰手机,0,0,0
IzWjlw8Q8,5644860155,马达加斯加的大卫,weibo.cn/5644860155/IzWjlw8Q8,True,山东什么时候开学，教师招聘马上就要开始了，在不开学，今年上岗无望了，真的是要哭辽  原图 ,/,/,无,2020-03-23 15:06,2020/03/23 15:07:54,开学,iPhone客户端,0,0,0
IzWjkCIEP,1708353870,沐梗,weibo.cn/1708353870/IzWjkCIEP,True,我真心的希望赶快开学，受不了闲得发慌的学生了，哪哪都有粉圈思维。  ,/,/,无,2020-03-23 15:06,2020/03/23 15:07:54,开学,HUAWEI Mate 20,0,0,0
IzWjk0xYD,5187856083,嗷呜一口就吃掉_,weibo.cn/5187856083/IzWjk0xYD,True,我不仅想#重新看一次蜡笔小新#，我还想当一次蜡笔小新，体验一下满大街跑的感觉开学时间你在哪怎么还不来！ 嗷呜一口就吃掉_的微博视频  ,/,/,无,2020-03-23 15:06,2020/03/23 15:07:54,开学,无,0,0,0
IzWjjr1om,5876432941,旻味奶糖,weibo.cn/5876432941/IzWjjr1om,True,#云南开学#是时候，五天学完一个月网课的内容了（不可能）连笔记都没有……开学考没救了  ,/,/,无,2020-03-23 15:06,2020/03/23 15:07:54,开学,Yoonmin Android,0,0,0
IzWjjqZUo,1831410825,青蓝红圆,weibo.cn/1831410825/IzWjjqZUo,True,我弟天天嚷着想开学网课效率确实比不上实际课堂但我想他大部分原因只是想逃离我妈的管控回到广东他又是自由自在自己一个人在家里浪  ,/,/,无,2020-03-23 15:06,2020/03/23 15:07:54,开学,无,0,0,0
IzWjj78NE,1840471535,Ww是猫_,weibo.cn/1840471535/IzWjj78NE,True,哎 我就是很自私的人啊我好想开学啊 这个学期本来就不长 我真的好想见见他 如果暑假不延 也就呆这么一小会每次想到这我觉得自己自私又拧巴 可是根本抵不过剩下的这种难过  ,/,/,无,2020-03-23 15:06,2020/03/23 15:07:54,开学,郑云龙怀里iPhone 8 Plus（银色）,0,0,0
IzWjClXfp,5835720091,阿俊夢游記,weibo.cn/5835720091/IzWjClXfp,True,#广州每天新增入境隔离上千人#我靠？？？？还不控制的话五月能开学吗？  ,/,/,无,2020-03-23 15:07,2020/03/23 15:08:29,开学,俊崽的Android,0,0,0
IzWjC4hvT,6618639374,_阪川樱花祭,weibo.cn/6618639374/IzWjC4hvT,True,#开学时间#要不就马上开学，要不就等我过完生日在开学，要是我生日开学我要气死  ,/,/,无,2020-03-23 15:07,2020/03/23 15:08:29,开学,🦊 🐺 Android,0,0,0
IzWjBrCpp,6028639950,怀念那时候的他们,weibo.cn/6028639950/IzWjBrCpp,True,#云南开学#我以为就我不想开学，你们都很期待，可是热搜后面大哭的表情是怎么回事  ,/,/,无,2020-03-23 15:07,2020/03/23 15:08:29,开学,OPPO智能手机,0,0,0
IzWjB9WNZ,6070068575,河南高校事儿,weibo.cn/6070068575/IzWjB9WNZ,True,【最新消息！河南全省县际客运班线全部开通】目前全省各地市客运班线逐步恢复运营，均已开通县际班线，部分地市开通县内班线、市际班线、省际班线。#河南加油##河南高校开学# 最新消息！河南全省县际客运班线全部开通  ,/,/,无,2020-03-23 15:07,2020/03/23 15:08:29,开学,人间冰阔落,0,0,0
IzWjAAOHW,5533259845,蜜汁甜7崽,weibo.cn/5533259845/IzWjAAOHW,True,再等等再等等开学啦三天的小邵+春游+好吃的＝超幸福唯一不舍就是抱着小邵在高铁站哭泣  [组图共4张] 原图 ,/,/,无,2020-03-23 15:07,2020/03/23 15:08:29,开学,iPhone客户端,0,0,0
IzWjAycTX,1759886691,冰块很好笑哦,weibo.cn/1759886691/IzWjAycTX,True,小张每天的生活睡觉 做饭 吃饭 发呆 消消乐 和平精英以及跟小刘和0.3吵架希望早点开学吧真的很累  ,/,/,无,2020-03-23 15:07,2020/03/23 15:08:29,开学,🎵iPhone 7,0,0,0
IzWjAxeWb,5945572256,车站等你5945572256,weibo.cn/5945572256/IzWjAxeWb,True,#当得知开学时间后的你#  ,/,/,无,2020-03-23 15:07,2020/03/23 15:08:29,开学,OPPO A9x,0,0,0
IzWjzm74r,5530487671,HolyLAN_OuO,weibo.cn/5530487671/IzWjzm74r,False,有人给塞尔维亚总统武契奇开通了超话，还给总统发私信，这合适吗  [组图共6张] 原图 ,快开学吧快开学吧快开学吧//@我什么时候才能遇到你和猫呀:和阿中哥哥，阿冠，拖拉机，中国男孩都是一批人吧  ,八组兔区爆料,无,2020-03-23 15:07,2020/03/23 15:08:29,开学,iPhone 7 Plus,0,0,0
IzWjzm7gE,5986048147,买瓶旺仔牛奶,weibo.cn/5986048147/IzWjzm7gE,True,#开学时间#悄咪咪说一句 我真的一点都不想开学 在家太舒服了网课也上的挺好…能多一天就一天吧  ,/,/,无,2020-03-23 15:07,2020/03/23 15:08:29,开学,Android,0,0,0
IzWjR6SQR,6004062041,扰扰扰扰R,weibo.cn/6004062041/IzWjR6SQR,True,广东天天增加我吐了啥时候能开学  ,/,/,无,2020-03-23 15:08,2020/03/23 15:09:05,开学,nova6 5G自拍大不一样,0,0,0
IzWjQg86o,6056703656,是酷酷的甜甜啊,weibo.cn/6056703656/IzWjQg86o,True,我想开学了，在家上课看电脑，看手机，看书看手机（下课了也没看过书），写作业看手机追剧还是看手机，刷微博还是手机唠嗑也是看手机……感觉我眼睛要瞎了  ,/,/,无,2020-03-23 15:08,2020/03/23 15:09:05,开学,nova6 5G自拍大不一样,0,0,0
IzWjQg84g,6618639374,_阪川樱花祭,weibo.cn/6618639374/IzWjQg84g,True,#云南开学#挺好的，浙江屁都没放  ,/,/,无,2020-03-23 15:08,2020/03/23 15:09:05,开学,🦊 🐺 Android,0,0,0
